map_state_code,map_state_name,pc11_state_id,pc11_district_id,pc11_district_name,total_population,sc_population,st_population,sc_population_share_pct,st_population_share_pct,source_level,source_tru
01,Jammu and Kashmir,01,001,Kupwara,870354,1048,70352,0.1204,8.0831,DISTRICT,Total
01,Jammu and Kashmir,01,002,Badgam,753745,368,23912,0.0488,3.1724,DISTRICT,Total
01,Jammu and Kashmir,01,003,Leh(Ladakh),133487,488,95857,0.3656,71.81,DISTRICT,Total
01,Jammu and Kashmir,01,004,Kargil,140802,18,122336,0.0128,86.8851,DISTRICT,Total
01,Jammu and Kashmir,01,005,Punch,476835,556,176101,0.1166,36.9312,DISTRICT,Total
01,Jammu and Kashmir,01,006,Rajouri,642415,48157,232815,7.4962,36.2406,DISTRICT,Total
01,Jammu and Kashmir,01,007,Kathua,616435,141224,53307,22.9098,8.6476,DISTRICT,Total
01,Jammu and Kashmir,01,008,Baramula,1008039,1476,37705,0.1464,3.7404,DISTRICT,Total
01,Jammu and Kashmir,01,009,Bandipore,392232,392,75374,0.0999,19.2167,DISTRICT,Total
01,Jammu and Kashmir,01,010,Srinagar,1236829,1068,8935,0.0863,0.7224,DISTRICT,Total
01,Jammu and Kashmir,01,011,Ganderbal,297446,117,61070,0.0393,20.5315,DISTRICT,Total
01,Jammu and Kashmir,01,012,Pulwama,560440,402,22607,0.0717,4.0338,DISTRICT,Total
01,Jammu and Kashmir,01,013,Shupiyan,266215,43,21820,0.0162,8.1964,DISTRICT,Total
01,Jammu and Kashmir,01,014,Anantnag,1078692,1826,116006,0.1693,10.7543,DISTRICT,Total
01,Jammu and Kashmir,01,015,Kulgam,424483,21,26525,0.0049,6.2488,DISTRICT,Total
01,Jammu and Kashmir,01,016,Doda,409936,53408,39216,13.0284,9.5664,DISTRICT,Total
01,Jammu and Kashmir,01,017,Ramban,283713,13920,39772,4.9064,14.0184,DISTRICT,Total
01,Jammu and Kashmir,01,018,Kishtwar,230696,14307,38149,6.2017,16.5365,DISTRICT,Total
01,Jammu and Kashmir,01,019,Udhampur,554985,138569,56309,24.9681,10.146,DISTRICT,Total
01,Jammu and Kashmir,01,020,Reasi,314667,37757,88365,11.999,28.0821,DISTRICT,Total
01,Jammu and Kashmir,01,021,Jammu,1529958,377991,69193,24.706,4.5225,DISTRICT,Total
01,Jammu and Kashmir,01,022,Samba,318898,91835,17573,28.7976,5.5105,DISTRICT,Total
02,Himachal Pradesh,02,023,Chamba,519080,111690,135500,21.5169,26.1039,DISTRICT,Total
02,Himachal Pradesh,02,024,Kangra,1510075,319385,84564,21.1503,5.6,DISTRICT,Total
02,Himachal Pradesh,02,025,Lahul & Spiti,31564,2235,25707,7.0809,81.4441,DISTRICT,Total
02,Himachal Pradesh,02,026,Kullu,437903,122659,16822,28.0105,3.8415,DISTRICT,Total
02,Himachal Pradesh,02,027,Mandi,999777,293739,12787,29.3805,1.279,DISTRICT,Total
02,Himachal Pradesh,02,028,Hamirpur,454768,109256,3044,24.0246,0.6694,DISTRICT,Total
02,Himachal Pradesh,02,029,Una,521173,115491,8601,22.1598,1.6503,DISTRICT,Total
02,Himachal Pradesh,02,030,Bilaspur,381956,98989,10693,25.9163,2.7995,DISTRICT,Total
02,Himachal Pradesh,02,031,Solan,580320,164536,25645,28.3526,4.4191,DISTRICT,Total
02,Himachal Pradesh,02,032,Sirmaur,529855,160745,11262,30.3375,2.1255,DISTRICT,Total
02,Himachal Pradesh,02,033,Shimla,814010,215777,8755,26.5079,1.0755,DISTRICT,Total
02,Himachal Pradesh,02,034,Kinnaur,84121,14750,48746,17.5343,57.9475,DISTRICT,Total
03,Punjab,03,035,Gurdaspur,2298323,580576,0,25.2609,0,DISTRICT,Total
03,Punjab,03,036,Kapurthala ,815168,276707,0,33.9448,0,DISTRICT,Total
03,Punjab,03,037,Jalandhar,2193590,854444,0,38.9519,0,DISTRICT,Total
