nic3,nic3_label,primary_bact,primary_bact_label,bact_codes_observed,primary_bact_row_share_pct,broad_sector,broad_sector_label,ex_ante_typology,ex_ante_typology_label,macro_typology,typology_rationale,empirical_primary_type,empirical_primary_type_label,empirical_high_scale_flag,empirical_high_hired_labor_flag,empirical_high_institutional_finance_flag,empirical_micro_own_account_flag
013,Plant propagation,01,Activities relating to agriculture other than crop production,01,100,non_crop_ag_allied,Non-crop ag/allied,agricultural_allied,Ag/allied,agricultural_allied,"NIC3 013-032 are covered non-crop agricultural, forestry, fishing, and allied activities.",mixed_empirical,Mixed,0,0,0,0
014,Animal production,02,Livestock,02,100,non_crop_ag_allied,Non-crop ag/allied,agricultural_allied,Ag/allied,agricultural_allied,"NIC3 013-032 are covered non-crop agricultural, forestry, fishing, and allied activities.",micro_own_account_intensive,Micro/own-account,0,0,0,1
016,Support activities to agriculture and post-harvest crop activities,01,Activities relating to agriculture other than crop production,01,100,non_crop_ag_allied,Non-crop ag/allied,agricultural_allied,Ag/allied,agricultural_allied,"NIC3 013-032 are covered non-crop agricultural, forestry, fishing, and allied activities.",institutional_finance_intensive,Institutional finance,0,0,1,0
017,"Hunting, trapping and related service activities",02,Livestock,02,100,non_crop_ag_allied,Non-crop ag/allied,agricultural_allied,Ag/allied,agricultural_allied,"NIC3 013-032 are covered non-crop agricultural, forestry, fishing, and allied activities.",micro_own_account_intensive,Micro/own-account,0,0,0,1
021,Silviculture and other forestry activities,03,Forestry and logging,03,100,non_crop_ag_allied,Non-crop ag/allied,agricultural_allied,Ag/allied,agricultural_allied,"NIC3 013-032 are covered non-crop agricultural, forestry, fishing, and allied activities.",micro_own_account_intensive,Micro/own-account,0,0,0,1
022,Logging,03,Forestry and logging,03,100,non_crop_ag_allied,Non-crop ag/allied,agricultural_allied,Ag/allied,agricultural_allied,"NIC3 013-032 are covered non-crop agricultural, forestry, fishing, and allied activities.",micro_own_account_intensive,Micro/own-account,0,0,0,1
023,Gathering of non-wood forest products,03,Forestry and logging,03,100,non_crop_ag_allied,Non-crop ag/allied,agricultural_allied,Ag/allied,agricultural_allied,"NIC3 013-032 are covered non-crop agricultural, forestry, fishing, and allied activities.",micro_own_account_intensive,Micro/own-account,0,0,0,1
024,Support services to forestry,03,Forestry and logging,03,100,non_crop_ag_allied,Non-crop ag/allied,agricultural_allied,Ag/allied,agricultural_allied,"NIC3 013-032 are covered non-crop agricultural, forestry, fishing, and allied activities.",institutional_finance_intensive,Institutional finance,0,0,1,1
031,Fishing,04,Fishing and aquaculture,04,100,non_crop_ag_allied,Non-crop ag/allied,agricultural_allied,Ag/allied,agricultural_allied,"NIC3 013-032 are covered non-crop agricultural, forestry, fishing, and allied activities.",micro_own_account_intensive,Micro/own-account,0,0,0,1
032,Aquaculture,04,Fishing and aquaculture,04,100,non_crop_ag_allied,Non-crop ag/allied,agricultural_allied,Ag/allied,agricultural_allied,"NIC3 013-032 are covered non-crop agricultural, forestry, fishing, and allied activities.",micro_own_account_intensive,Micro/own-account,0,0,0,1
051,Mining of hard coal,05,Mining and quarrying,05,100,mining_quarrying,Mining/quarrying,extractive_capital_intensive,Extractive capital,capital_intensive,"Mining/quarrying and extraction activities generally require land, permits, equipment, and fixed capital.",high_scale,High scale,1,1,0,0
052,Mining of lignite,05,Mining and quarrying,05,100,mining_quarrying,Mining/quarrying,extractive_capital_intensive,Extractive capital,capital_intensive,"Mining/quarrying and extraction activities generally require land, permits, equipment, and fixed capital.",high_scale,High scale,1,0,0,0
061,Extraction of crude petroleum,05,Mining and quarrying,05,100,mining_quarrying,Mining/quarrying,extractive_capital_intensive,Extractive capital,capital_intensive,"Mining/quarrying and extraction activities generally require land, permits, equipment, and fixed capital.",institutional_finance_intensive,Institutional finance,0,0,1,0
062,Extraction of natural gas,05,Mining and quarrying,05,100,mining_quarrying,Mining/quarrying,extractive_capital_intensive,Extractive capital,capital_intensive,"Mining/quarrying and extraction activities generally require land, permits, equipment, and fixed capital.",mixed_empirical,Mixed,0,0,0,0
071,Mining of iron ores,05,Mining and quarrying,05,100,mining_quarrying,Mining/quarrying,extractive_capital_intensive,Extractive capital,capital_intensive,"Mining/quarrying and extraction activities generally require land, permits, equipment, and fixed capital.",mixed_empirical,Mixed,0,0,0,0
072,Mining of non-ferrous metal ores,05,Mining and quarrying,05,100,mining_quarrying,Mining/quarrying,extractive_capital_intensive,Extractive capital,capital_intensive,"Mining/quarrying and extraction activities generally require land, permits, equipment, and fixed capital.",mixed_empirical,Mixed,0,0,0,0
081,"Quarrying of stone, sand and clay",05,Mining and quarrying,05,100,mining_quarrying,Mining/quarrying,extractive_capital_intensive,Extractive capital,capital_intensive,"Mining/quarrying and extraction activities generally require land, permits, equipment, and fixed capital.",high_scale,High scale,1,0,1,0
089,Mining and quarrying n.e.c.,05,Mining and quarrying,05,100,mining_quarrying,Mining/quarrying,extractive_capital_intensive,Extractive capital,capital_intensive,"Mining/quarrying and extraction activities generally require land, permits, equipment, and fixed capital.",high_scale,High scale,1,1,1,0
091,Support activities for petroleum and natural gas mining,05,Mining and quarrying,05,100,mining_quarrying,Mining/quarrying,extractive_capital_intensive,Extractive capital,capital_intensive,"Mining/quarrying and extraction activities generally require land, permits, equipment, and fixed capital.",high_scale,High scale,1,1,1,0
099,Support activities for other mining and quarrying,05,Mining and quarrying,05,100,mining_quarrying,Mining/quarrying,extractive_capital_intensive,Extractive capital,capital_intensive,"Mining/quarrying and extraction activities generally require land, permits, equipment, and fixed capital.",hired_labor_intensive,Hired labour,0,1,1,0
101,Processing and preserving of meat,06,Manufacturing,06,100,manufacturing,Manufacturing,manufacturing_labor_intensive,Mfg labour,labour_intensive,"Food, textiles, apparel, leather, wood, printing, furniture, and miscellaneous manufacturing are treated as relatively labour-intensive manufacturing.",micro_own_account_intensive,Micro/own-account,0,0,0,1
102,"Processing and preserving of fish, crustaceans and molluscs",06,Manufacturing,06,100,manufacturing,Manufacturing,manufacturing_labor_intensive,Mfg labour,labour_intensive,"Food, textiles, apparel, leather, wood, printing, furniture, and miscellaneous manufacturing are treated as relatively labour-intensive manufacturing.",mixed_empirical,Mixed,0,0,0,0
103,Processing and preserving of fruit and vegetables,06,Manufacturing,06,100,manufacturing,Manufacturing,manufacturing_labor_intensive,Mfg labour,labour_intensive,"Food, textiles, apparel, leather, wood, printing, furniture, and miscellaneous manufacturing are treated as relatively labour-intensive manufacturing.",mixed_empirical,Mixed,0,0,0,0
104,Manufacture of vegetable and animal oils and fats,06,Manufacturing,06,100,manufacturing,Manufacturing,manufacturing_labor_intensive,Mfg labour,labour_intensive,"Food, textiles, apparel, leather, wood, printing, furniture, and miscellaneous manufacturing are treated as relatively labour-intensive manufacturing.",mixed_empirical,Mixed,0,0,0,0
105,Manufacture of dairy products,06,Manufacturing,06,100,manufacturing,Manufacturing,manufacturing_labor_intensive,Mfg labour,labour_intensive,"Food, textiles, apparel, leather, wood, printing, furniture, and miscellaneous manufacturing are treated as relatively labour-intensive manufacturing.",micro_own_account_intensive,Micro/own-account,0,0,0,1
106,"Manufacture of grain mill products, starches and starch products",06,Manufacturing,06,100,manufacturing,Manufacturing,manufacturing_labor_intensive,Mfg labour,labour_intensive,"Food, textiles, apparel, leather, wood, printing, furniture, and miscellaneous manufacturing are treated as relatively labour-intensive manufacturing.",micro_own_account_intensive,Micro/own-account,0,0,0,1
107,Manufacture of other food products,06,Manufacturing,06,100,manufacturing,Manufacturing,manufacturing_labor_intensive,Mfg labour,labour_intensive,"Food, textiles, apparel, leather, wood, printing, furniture, and miscellaneous manufacturing are treated as relatively labour-intensive manufacturing.",high_scale,High scale,1,0,0,0
108,Manufacture of prepared animal feeds,06,Manufacturing,06,100,manufacturing,Manufacturing,manufacturing_labor_intensive,Mfg labour,labour_intensive,"Food, textiles, apparel, leather, wood, printing, furniture, and miscellaneous manufacturing are treated as relatively labour-intensive manufacturing.",mixed_empirical,Mixed,0,0,0,0
110,Manufacture of beverages,06,Manufacturing,06,100,manufacturing,Manufacturing,manufacturing_capital_intensive,Mfg capital,capital_intensive,"Chemicals, metals, machinery, vehicles, equipment, repair/installation, and related manufacturing are treated as relatively capital-intensive manufacturing.",micro_own_account_intensive,Micro/own-account,0,0,0,1
120,Manufacture of tobacco products,06,Manufacturing,06,100,manufacturing,Manufacturing,manufacturing_labor_intensive,Mfg labour,labour_intensive,"Food, textiles, apparel, leather, wood, printing, furniture, and miscellaneous manufacturing are treated as relatively labour-intensive manufacturing.",micro_own_account_intensive,Micro/own-account,0,0,0,1
131,"Spinning, weaving and finishing of textiles",06,Manufacturing,06,100,manufacturing,Manufacturing,manufacturing_labor_intensive,Mfg labour,labour_intensive,"Food, textiles, apparel, leather, wood, printing, furniture, and miscellaneous manufacturing are treated as relatively labour-intensive manufacturing.",mixed_empirical,Mixed,0,0,0,0
139,Manufacture of other textiles,06,Manufacturing,06,100,manufacturing,Manufacturing,manufacturing_labor_intensive,Mfg labour,labour_intensive,"Food, textiles, apparel, leather, wood, printing, furniture, and miscellaneous manufacturing are treated as relatively labour-intensive manufacturing.",mixed_empirical,Mixed,0,0,0,0
141,"Manufacture of wearing apparel, except fur apparel",06,Manufacturing,06,100,manufacturing,Manufacturing,manufacturing_labor_intensive,Mfg labour,labour_intensive,"Food, textiles, apparel, leather, wood, printing, furniture, and miscellaneous manufacturing are treated as relatively labour-intensive manufacturing.",micro_own_account_intensive,Micro/own-account,0,0,0,1
142,Manufacture of articles of fur,06,Manufacturing,06,100,manufacturing,Manufacturing,manufacturing_labor_intensive,Mfg labour,labour_intensive,"Food, textiles, apparel, leather, wood, printing, furniture, and miscellaneous manufacturing are treated as relatively labour-intensive manufacturing.",mixed_empirical,Mixed,0,0,0,0
143,Manufacture of knitted and crocheted apparel,06,Manufacturing,06,100,manufacturing,Manufacturing,manufacturing_labor_intensive,Mfg labour,labour_intensive,"Food, textiles, apparel, leather, wood, printing, furniture, and miscellaneous manufacturing are treated as relatively labour-intensive manufacturing.",mixed_empirical,Mixed,0,0,0,0
151,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur",06,Manufacturing,06,100,manufacturing,Manufacturing,manufacturing_labor_intensive,Mfg labour,labour_intensive,"Food, textiles, apparel, leather, wood, printing, furniture, and miscellaneous manufacturing are treated as relatively labour-intensive manufacturing.",high_scale,High scale,1,0,0,0
152,Manufacture of footwear,06,Manufacturing,06,100,manufacturing,Manufacturing,manufacturing_labor_intensive,Mfg labour,labour_intensive,"Food, textiles, apparel, leather, wood, printing, furniture, and miscellaneous manufacturing are treated as relatively labour-intensive manufacturing.",mixed_empirical,Mixed,0,0,0,0
161,Sawmilling and planing of wood,06,Manufacturing,06,100,manufacturing,Manufacturing,manufacturing_labor_intensive,Mfg labour,labour_intensive,"Food, textiles, apparel, leather, wood, printing, furniture, and miscellaneous manufacturing are treated as relatively labour-intensive manufacturing.",hired_labor_intensive,Hired labour,0,1,0,0
162,"Manufacture of products of wood, cork, straw and plaiting materials",06,Manufacturing,06,100,manufacturing,Manufacturing,manufacturing_labor_intensive,Mfg labour,labour_intensive,"Food, textiles, apparel, leather, wood, printing, furniture, and miscellaneous manufacturing are treated as relatively labour-intensive manufacturing.",micro_own_account_intensive,Micro/own-account,0,0,0,1
170,Manufacture of paper and paper products,06,Manufacturing,06,100,manufacturing,Manufacturing,manufacturing_labor_intensive,Mfg labour,labour_intensive,"Food, textiles, apparel, leather, wood, printing, furniture, and miscellaneous manufacturing are treated as relatively labour-intensive manufacturing.",high_scale,High scale,1,0,0,0
181,Printing and service activities related to printing,06,Manufacturing,06,100,manufacturing,Manufacturing,manufacturing_labor_intensive,Mfg labour,labour_intensive,"Food, textiles, apparel, leather, wood, printing, furniture, and miscellaneous manufacturing are treated as relatively labour-intensive manufacturing.",hired_labor_intensive,Hired labour,0,1,0,0
182,Reproduction of recorded media,06,Manufacturing,06,100,manufacturing,Manufacturing,manufacturing_labor_intensive,Mfg labour,labour_intensive,"Food, textiles, apparel, leather, wood, printing, furniture, and miscellaneous manufacturing are treated as relatively labour-intensive manufacturing.",mixed_empirical,Mixed,0,0,0,0
191,Manufacture of coke oven products,06,Manufacturing,06,100,manufacturing,Manufacturing,manufacturing_capital_intensive,Mfg capital,capital_intensive,"Chemicals, metals, machinery, vehicles, equipment, repair/installation, and related manufacturing are treated as relatively capital-intensive manufacturing.",mixed_empirical,Mixed,0,0,0,0
192,Manufacture of refined petroleum products,06,Manufacturing,06,100,manufacturing,Manufacturing,manufacturing_capital_intensive,Mfg capital,capital_intensive,"Chemicals, metals, machinery, vehicles, equipment, repair/installation, and related manufacturing are treated as relatively capital-intensive manufacturing.",institutional_finance_intensive,Institutional finance,0,0,1,0
201,"Manufacture of basic chemicals, fertilizer and nitrogen compounds, plastics and synthetic rubber in primary forms",06,Manufacturing,06,100,manufacturing,Manufacturing,manufacturing_capital_intensive,Mfg capital,capital_intensive,"Chemicals, metals, machinery, vehicles, equipment, repair/installation, and related manufacturing are treated as relatively capital-intensive manufacturing.",high_scale,High scale,1,1,1,0
202,Manufacture of other chemical products,06,Manufacturing,06,100,manufacturing,Manufacturing,manufacturing_capital_intensive,Mfg capital,capital_intensive,"Chemicals, metals, machinery, vehicles, equipment, repair/installation, and related manufacturing are treated as relatively capital-intensive manufacturing.",high_scale,High scale,1,0,0,0
203,Manufacture of man-made fibres,06,Manufacturing,06,100,manufacturing,Manufacturing,manufacturing_capital_intensive,Mfg capital,capital_intensive,"Chemicals, metals, machinery, vehicles, equipment, repair/installation, and related manufacturing are treated as relatively capital-intensive manufacturing.",high_scale,High scale,1,0,0,0
210,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",06,Manufacturing,06,100,manufacturing,Manufacturing,manufacturing_capital_intensive,Mfg capital,capital_intensive,"Chemicals, metals, machinery, vehicles, equipment, repair/installation, and related manufacturing are treated as relatively capital-intensive manufacturing.",high_scale,High scale,1,0,0,0
221,Manufacture of rubber products,06,Manufacturing,06,100,manufacturing,Manufacturing,manufacturing_capital_intensive,Mfg capital,capital_intensive,"Chemicals, metals, machinery, vehicles, equipment, repair/installation, and related manufacturing are treated as relatively capital-intensive manufacturing.",high_scale,High scale,1,1,0,0
